Transaction_ID,Items
174,"Biscuits,Sugar,Tea,Juice"
175,"Juice,Eggs,Bread,Tea,Coffee"
176,"Coffee,Eggs"
177,"Bread,Butter,Juice,Coffee,Cheese"
178,"Biscuits,Cheese,Sugar"
179,"Sugar,Eggs"
180,"Butter,Sugar,Biscuits,Eggs"
181,"Juice,Milk"
182,"Bread,Biscuits,Eggs,Cheese,Milk"
183,"Bread,Biscuits,Coffee"
184,"Milk,Biscuits,Sugar,Tea"
185,"Sugar,Cheese,Bread,Juice"
186,"Milk,Coffee,Biscuits"
187,"Eggs,Tea,Sugar,Milk"
188,"Juice,Milk,Bread,Sugar"
189,"Cheese,Eggs,Sugar,Juice,Biscuits"
190,"Tea,Butter,Bread,Juice"
191,"Milk,Eggs,Juice,Biscuits"
192,"Bread,Juice"
193,"Coffee,Bread,Cheese"
194,"Bread,Cheese,Sugar,Milk,Juice"
195,"Sugar,Bread,Biscuits,Coffee,Juice"
196,"Tea,Coffee,Milk,Cheese,Eggs"
197,"Biscuits,Tea"
198,"Coffee,Juice,Bread,Biscuits,Eggs"
199,"Cheese,Sugar,Milk,Eggs"
200,"Butter,Biscuits"
